query,assignedType,distance,reference,species
test265,unassigned,,EF077256.1_C36,u
test267,unassigned,,AY016400.1_B48,u
test268,unassigned,,EF077264.1_C12,u
test269,unassigned,,EF077264.1_C12,u
test271,unassigned,,EF077264.1_C12,u
test273,unassigned,,EU697850.1_C19,u
test274,unassigned,,EU081807.1_C43,u
test275,unassigned,,EF077256.1_C36,u
test278,unassigned,,AF343652.1_B99,u
test279,unassigned,,EF077264.1_C12,u
test280,unassigned,,AY016399.1_B69,u
test290,unassigned,,AF343654.1_B27,u
test292,unassigned,,AY016400.1_B48,u
test294,unassigned,,JN990699.1_A105,u
test295,unassigned,,AF343641.1_A40,u
